id_station,mh,rev_date,experimental,control,day_since_install
304,PL,2019-01-23,10,10,0
314,PL,2019-01-23,10,10,0
320,PL,2019-01-23,10,10,0
324,PL,2019-01-23,10,10,0
327,PL,2019-01-23,10,10,0
338,PL,2019-01-23,10,10,0
FR1,FR,2019-01-23,10,10,0
FR11,FR,2019-01-23,10,10,0
FR12,FR,2019-01-23,10,10,0
FR13,FR,2019-01-23,10,10,0
FR14,FR,2019-01-23,10,10,0
FR4,FR,2019-01-23,10,10,0
NF12,NF,2019-01-23,10,10,0
NF13,NF,2019-01-23,10,10,0
NF3,NF,2019-01-23,10,10,0
NF4,NF,2019-01-23,10,10,0
NF7,NF,2019-01-23,10,10,0
NF8,NF,2019-01-23,10,10,0
OA1,OA,2019-01-23,10,10,0
OA2,OA,2019-01-23,10,10,0
OA3,OA,2019-01-23,10,10,0
OA4,OA,2019-01-23,10,10,0
OA5,OA,2019-01-23,10,10,0
OA6,OA,2019-01-23,10,10,0
PP10,PP,2019-01-23,10,10,0
PP11,PP,2019-01-23,10,10,0
PP12,PP,2019-01-23,10,10,0
PP2,PP,2019-01-23,10,10,0
PP3,PP,2019-01-23,10,10,0
PP4,PP,2019-01-23,10,10,0
304,PL,2019-01-24,0,10,1
314,PL,2019-01-24,10,10,1
320,PL,2019-01-24,10,10,1
324,PL,2019-01-24,9,10,1
327,PL,2019-01-24,0,10,1
338,PL,2019-01-24,10,10,1
FR1,FR,2019-01-24,0,10,1
FR11,FR,2019-01-24,10,10,1
FR12,FR,2019-01-24,10,10,1
FR13,FR,2019-01-24,10,10,1
FR14,FR,2019-01-24,10,10,1
FR4,FR,2019-01-24,10,10,1
NF12,NF,2019-01-24,10,10,1
NF13,NF,2019-01-24,0,9,1
NF3,NF,2019-01-24,4,10,1
NF4,NF,2019-01-24,10,10,1
NF7,NF,2019-01-24,10,10,1
NF8,NF,2019-01-24,0,10,1
OA1,OA,2019-01-24,0,10,1
OA2,OA,2019-01-24,0,10,1
OA3,OA,2019-01-24,10,10,1
OA4,OA,2019-01-24,10,10,1
OA5,OA,2019-01-24,10,10,1
OA6,OA,2019-01-24,9,10,1
PP10,PP,2019-01-24,7,10,1
PP11,PP,2019-01-24,10,10,1
PP12,PP,2019-01-24,10,10,1
PP2,PP,2019-01-24,10,10,1
PP3,PP,2019-01-24,10,10,1
PP4,PP,2019-01-24,10,10,1
304,PL,2019-01-25,0,10,2
314,PL,2019-01-25,10,10,2
320,PL,2019-01-25,10,10,2
324,PL,2019-01-25,0,10,2
327,PL,2019-01-25,0,10,2
338,PL,2019-01-25,0,10,2
FR1,FR,2019-01-25,0,10,2
FR11,FR,2019-01-25,9,10,2
FR12,FR,2019-01-25,10,10,2
FR13,FR,2019-01-25,10,10,2
FR14,FR,2019-01-25,10,10,2
FR4,FR,2019-01-25,10,10,2
NF12,NF,2019-01-25,10,10,2
NF13,NF,2019-01-25,0,9,2
NF3,NF,2019-01-25,4,10,2
NF4,NF,2019-01-25,10,10,2
NF7,NF,2019-01-25,10,10,2
NF8,NF,2019-01-25,0,10,2
OA1,OA,2019-01-25,0,10,2
OA2,OA,2019-01-25,0,10,2
OA3,OA,2019-01-25,10,10,2
OA4,OA,2019-01-25,10,10,2
OA5,OA,2019-01-25,10,10,2
OA6,OA,2019-01-25,9,10,2
PP10,PP,2019-01-25,7,10,2
PP11,PP,2019-01-25,0,10,2
PP12,PP,2019-01-25,10,10,2
PP2,PP,2019-01-25,10,10,2
PP3,PP,2019-01-25,10,10,2
PP4,PP,2019-01-25,1,10,2
304,PL,2019-01-28,0,10,5
314,PL,2019-01-28,10,10,5
320,PL,2019-01-28,10,10,5
324,PL,2019-01-28,0,10,5
327,PL,2019-01-28,0,10,5
338,PL,2019-01-28,0,10,5
FR1,FR,2019-01-28,0,10,5
FR11,FR,2019-01-28,0,10,5
FR12,FR,2019-01-28,10,10,5
FR13,FR,2019-01-28,10,10,5
FR14,FR,2019-01-28,10,10,5
FR4,FR,2019-01-28,10,10,5
NF12,NF,2019-01-28,10,10,5
NF13,NF,2019-01-28,0,8,5
NF3,NF,2019-01-28,0,10,5
NF4,NF,2019-01-28,9,10,5
NF7,NF,2019-01-28,10,10,5
NF8,NF,2019-01-28,0,10,5
OA1,OA,2019-01-28,0,10,5
OA2,OA,2019-01-28,0,10,5
OA3,OA,2019-01-28,10,10,5
OA4,OA,2019-01-28,10,10,5
OA5,OA,2019-01-28,10,10,5
OA6,OA,2019-01-28,0,10,5
PP10,PP,2019-01-28,0,10,5
PP11,PP,2019-01-28,0,10,5
PP12,PP,2019-01-28,10,10,5
PP2,PP,2019-01-28,10,10,5
PP3,PP,2019-01-28,10,10,5
PP4,PP,2019-01-28,0,10,5
304,PL,2019-01-31,0,10,8
314,PL,2019-01-31,10,10,8
320,PL,2019-01-31,0,10,8
324,PL,2019-01-31,0,10,8
327,PL,2019-01-31,0,10,8
338,PL,2019-01-31,0,10,8
FR1,FR,2019-01-31,0,10,8
FR11,FR,2019-01-31,0,10,8
FR12,FR,2019-01-31,10,10,8
FR13,FR,2019-01-31,10,10,8
FR14,FR,2019-01-31,10,10,8
FR4,FR,2019-01-31,9,10,8
NF12,NF,2019-01-31,10,10,8
NF13,NF,2019-01-31,0,8,8
NF3,NF,2019-01-31,0,10,8
NF4,NF,2019-01-31,9,10,8
NF7,NF,2019-01-31,10,10,8
NF8,NF,2019-01-31,0,9,8
OA1,OA,2019-01-31,0,10,8
OA2,OA,2019-01-31,0,10,8
OA3,OA,2019-01-31,10,10,8
OA4,OA,2019-01-31,10,10,8
OA5,OA,2019-01-31,1,10,8
OA6,OA,2019-01-31,0,10,8
PP10,PP,2019-01-31,0,10,8
PP11,PP,2019-01-31,0,10,8
PP12,PP,2019-01-31,10,10,8
PP2,PP,2019-01-31,0,10,8
PP3,PP,2019-01-31,10,10,8
PP4,PP,2019-01-31,0,10,8
304,PL,2019-02-04,0,10,12
314,PL,2019-02-04,2,10,12
320,PL,2019-02-04,0,10,12
324,PL,2019-02-04,0,10,12
327,PL,2019-02-04,0,10,12
338,PL,2019-02-04,0,10,12
FR1,FR,2019-02-04,0,10,12
FR11,FR,2019-02-04,0,10,12
FR12,FR,2019-02-04,10,10,12
FR13,FR,2019-02-04,10,10,12
FR14,FR,2019-02-04,0,10,12
FR4,FR,2019-02-04,6,9,12
NF12,NF,2019-02-04,2,10,12
NF13,NF,2019-02-04,0,6,12
NF3,NF,2019-02-04,0,10,12
NF4,NF,2019-02-04,7,8,12
NF7,NF,2019-02-04,10,10,12
NF8,NF,2019-02-04,0,8,12
OA1,OA,2019-02-04,0,10,12
OA2,OA,2019-02-04,0,9,12
OA3,OA,2019-02-04,10,9,12
OA4,OA,2019-02-04,10,10,12
OA5,OA,2019-02-04,1,10,12
OA6,OA,2019-02-04,0,8,12
PP10,PP,2019-02-04,0,9,12
PP11,PP,2019-02-04,0,9,12
PP12,PP,2019-02-04,10,8,12
PP2,PP,2019-02-04,0,10,12
PP3,PP,2019-02-04,9,10,12
PP4,PP,2019-02-04,0,10,12
304,PL,2019-02-06,0,10,14
314,PL,2019-02-06,1,10,14
320,PL,2019-02-06,0,10,14
324,PL,2019-02-06,0,10,14
327,PL,2019-02-06,0,10,14
338,PL,2019-02-06,0,10,14
FR1,FR,2019-02-06,0,10,14
FR11,FR,2019-02-06,0,10,14
FR12,FR,2019-02-06,0,10,14
FR13,FR,2019-02-06,0,10,14
FR14,FR,2019-02-06,0,10,14
FR4,FR,2019-02-06,6,9,14
NF12,NF,2019-02-06,2,10,14
NF13,NF,2019-02-06,0,6,14
NF3,NF,2019-02-06,0,10,14
NF4,NF,2019-02-06,7,8,14
NF7,NF,2019-02-06,10,10,14
NF8,NF,2019-02-06,0,8,14
OA1,OA,2019-02-06,0,10,14
OA2,OA,2019-02-06,0,9,14
OA3,OA,2019-02-06,9,9,14
OA4,OA,2019-02-06,10,10,14
OA5,OA,2019-02-06,1,10,14
OA6,OA,2019-02-06,0,8,14
PP10,PP,2019-02-06,0,9,14
PP11,PP,2019-02-06,0,9,14
PP12,PP,2019-02-06,10,8,14
PP2,PP,2019-02-06,0,10,14
PP3,PP,2019-02-06,9,10,14
PP4,PP,2019-02-06,0,10,14
304,PL,2019-02-14,0,10,22
314,PL,2019-02-14,1,10,22
320,PL,2019-02-14,0,10,22
324,PL,2019-02-14,0,10,22
327,PL,2019-02-14,0,10,22
338,PL,2019-02-14,0,10,22
FR1,FR,2019-02-14,0,10,22
FR11,FR,2019-02-14,0,10,22
FR12,FR,2019-02-14,0,10,22
FR13,FR,2019-02-14,0,10,22
FR14,FR,2019-02-14,0,10,22
FR4,FR,2019-02-14,2,9,22
NF12,NF,2019-02-14,0,10,22
NF13,NF,2019-02-14,0,6,22
NF3,NF,2019-02-14,0,10,22
NF4,NF,2019-02-14,7,8,22
NF7,NF,2019-02-14,0,10,22
NF8,NF,2019-02-14,0,8,22
OA1,OA,2019-02-14,0,10,22
OA2,OA,2019-02-14,0,9,22
OA3,OA,2019-02-14,0,9,22
OA4,OA,2019-02-14,10,10,22
OA5,OA,2019-02-14,1,10,22
OA6,OA,2019-02-14,0,8,22
PP10,PP,2019-02-14,0,9,22
PP11,PP,2019-02-14,0,9,22
PP12,PP,2019-02-14,10,8,22
PP2,PP,2019-02-14,0,10,22
PP3,PP,2019-02-14,9,10,22
PP4,PP,2019-02-14,0,10,22
304,PL,2019-02-21,0,10,29
314,PL,2019-02-21,1,10,29
320,PL,2019-02-21,0,10,29
324,PL,2019-02-21,0,10,29
327,PL,2019-02-21,0,10,29
338,PL,2019-02-21,0,10,29
FR1,FR,2019-02-21,0,10,29
FR11,FR,2019-02-21,0,10,29
FR12,FR,2019-02-21,0,10,29
FR13,FR,2019-02-21,0,10,29
FR14,FR,2019-02-21,0,10,29
FR4,FR,2019-02-21,2,9,29
NF12,NF,2019-02-21,0,10,29
NF13,NF,2019-02-21,0,5,29
NF3,NF,2019-02-21,0,10,29
NF4,NF,2019-02-21,7,8,29
NF7,NF,2019-02-21,0,10,29
NF8,NF,2019-02-21,0,8,29
OA1,OA,2019-02-21,0,10,29
OA2,OA,2019-02-21,0,9,29
OA3,OA,2019-02-21,0,8,29
OA4,OA,2019-02-21,10,10,29
OA5,OA,2019-02-21,1,10,29
OA6,OA,2019-02-21,0,8,29
PP10,PP,2019-02-21,0,9,29
PP11,PP,2019-02-21,0,9,29
PP12,PP,2019-02-21,10,8,29
PP2,PP,2019-02-21,0,10,29
PP3,PP,2019-02-21,9,10,29
PP4,PP,2019-02-21,0,10,29
304,PL,2019-03-12,0,10,48
314,PL,2019-03-12,1,10,48
320,PL,2019-03-12,0,10,48
324,PL,2019-03-12,0,10,48
327,PL,2019-03-12,0,10,48
338,PL,2019-03-12,0,10,48
FR1,FR,2019-03-12,0,5,48
FR11,FR,2019-03-12,0,10,48
FR12,FR,2019-03-12,0,10,48
FR13,FR,2019-03-12,0,10,48
FR14,FR,2019-03-12,0,10,48
FR4,FR,2019-03-12,0,9,48
NF12,NF,2019-03-12,0,10,48
NF13,NF,2019-03-12,0,5,48
NF3,NF,2019-03-12,0,10,48
NF4,NF,2019-03-12,0,8,48
NF7,NF,2019-03-12,0,9,48
NF8,NF,2019-03-12,0,8,48
OA1,OA,2019-03-12,0,10,48
OA2,OA,2019-03-12,0,8,48
OA3,OA,2019-03-12,0,6,48
OA4,OA,2019-03-12,10,9,48
OA5,OA,2019-03-12,1,9,48
OA6,OA,2019-03-12,0,8,48
PP10,PP,2019-03-12,0,8,48
PP11,PP,2019-03-12,0,7,48
PP12,PP,2019-03-12,6,7,48
PP2,PP,2019-03-12,0,10,48
PP3,PP,2019-03-12,9,10,48
PP4,PP,2019-03-12,0,10,48
304,PL,2019-03-25,0,10,61
314,PL,2019-03-25,1,10,61
320,PL,2019-03-25,0,10,61
324,PL,2019-03-25,0,10,61
327,PL,2019-03-25,0,10,61
338,PL,2019-03-25,0,10,61
FR1,FR,2019-03-25,0,5,61
FR11,FR,2019-03-25,0,10,61
FR12,FR,2019-03-25,0,9,61
FR13,FR,2019-03-25,0,10,61
FR14,FR,2019-03-25,0,10,61
FR4,FR,2019-03-25,0,9,61
NF12,NF,2019-03-25,0,9,61
NF13,NF,2019-03-25,0,5,61
NF3,NF,2019-03-25,0,10,61
NF4,NF,2019-03-25,0,8,61
NF7,NF,2019-03-25,0,9,61
NF8,NF,2019-03-25,0,7,61
OA1,OA,2019-03-25,0,9,61
OA2,OA,2019-03-25,0,NA,61
OA3,OA,2019-03-25,0,6,61
OA4,OA,2019-03-25,10,9,61
OA5,OA,2019-03-25,1,8,61
OA6,OA,2019-03-25,0,8,61
PP10,PP,2019-03-25,0,8,61
PP11,PP,2019-03-25,0,6,61
PP12,PP,2019-03-25,6,7,61
PP2,PP,2019-03-25,0,10,61
PP3,PP,2019-03-25,1,10,61
PP4,PP,2019-03-25,0,10,61
304,PL,2019-04-16,0,9,83
314,PL,2019-04-16,1,10,83
320,PL,2019-04-16,0,10,83
324,PL,2019-04-16,0,10,83
327,PL,2019-04-16,0,10,83
338,PL,2019-04-16,0,10,83
FR1,FR,2019-04-16,0,2,83
FR11,FR,2019-04-16,0,10,83
FR12,FR,2019-04-16,0,9,83
FR13,FR,2019-04-16,0,9,83
FR14,FR,2019-04-16,0,10,83
FR4,FR,2019-04-16,0,9,83
NF12,NF,2019-04-16,0,5,83
NF13,NF,2019-04-16,0,5,83
NF3,NF,2019-04-16,0,10,83
NF4,NF,2019-04-16,0,4,83
NF7,NF,2019-04-16,0,8,83
NF8,NF,2019-04-16,0,7,83
OA1,OA,2019-04-16,0,1,83
OA2,OA,2019-04-16,0,NA,83
OA3,OA,2019-04-16,0,6,83
OA4,OA,2019-04-16,10,7,83
OA5,OA,2019-04-16,0,7,83
OA6,OA,2019-04-16,0,5,83
PP10,PP,2019-04-16,0,7,83
PP11,PP,2019-04-16,0,6,83
PP12,PP,2019-04-16,6,7,83
PP2,PP,2019-04-16,0,10,83
PP3,PP,2019-04-16,0,9,83
PP4,PP,2019-04-16,0,10,83
304,PL,2019-04-30,0,9,97
314,PL,2019-04-30,0,10,97
320,PL,2019-04-30,0,9,97
324,PL,2019-04-30,0,10,97
327,PL,2019-04-30,0,9,97
338,PL,2019-04-30,0,10,97
FR1,FR,2019-04-30,0,2,97
FR11,FR,2019-04-30,0,9,97
FR12,FR,2019-04-30,0,8,97
FR13,FR,2019-04-30,0,9,97
FR14,FR,2019-04-30,0,10,97
FR4,FR,2019-04-30,0,7,97
NF12,NF,2019-04-30,0,5,97
NF13,NF,2019-04-30,0,5,97
NF3,NF,2019-04-30,0,10,97
NF4,NF,2019-04-30,0,4,97
NF7,NF,2019-04-30,0,8,97
NF8,NF,2019-04-30,0,NA,97
OA1,OA,2019-04-30,0,1,97
OA2,OA,2019-04-30,0,NA,97
OA3,OA,2019-04-30,0,6,97
OA4,OA,2019-04-30,10,6,97
OA5,OA,2019-04-30,0,7,97
OA6,OA,2019-04-30,0,5,97
PP10,PP,2019-04-30,0,NA,97
PP11,PP,2019-04-30,0,3,97
PP12,PP,2019-04-30,6,6,97
PP2,PP,2019-04-30,0,10,97
PP3,PP,2019-04-30,0,9,97
PP4,PP,2019-04-30,0,10,97
304,PL,2019-06-03,0,9,131
314,PL,2019-06-03,0,8,131
320,PL,2019-06-03,0,8,131
324,PL,2019-06-03,0,7,131
327,PL,2019-06-03,0,9,131
338,PL,2019-06-03,0,9,131
FR1,FR,2019-06-03,0,1,131
FR11,FR,2019-06-03,0,NA,131
FR12,FR,2019-06-03,0,8,131
FR13,FR,2019-06-03,0,7,131
FR14,FR,2019-06-03,0,10,131
FR4,FR,2019-06-03,0,5,131
NF12,NF,2019-06-03,0,5,131
NF13,NF,2019-06-03,0,3,131
NF3,NF,2019-06-03,0,10,131
NF4,NF,2019-06-03,0,4,131
NF7,NF,2019-06-03,0,6,131
NF8,NF,2019-06-03,0,NA,131
OA1,OA,2019-06-03,0,0,131
OA2,OA,2019-06-03,0,NA,131
OA3,OA,2019-06-03,0,NA,131
OA4,OA,2019-06-03,8,6,131
OA5,OA,2019-06-03,0,6,131
OA6,OA,2019-06-03,0,5,131
PP10,PP,2019-06-03,0,NA,131
PP11,PP,2019-06-03,0,NA,131
PP12,PP,2019-06-03,NA,6,131
PP2,PP,2019-06-03,0,10,131
PP3,PP,2019-06-03,0,NA,131
PP4,PP,2019-06-03,0,NA,131
